HotelBrandID,HotelBrandName
2907,Corruble
2908,Cantet
2909,Regetel
2910,Value Place
2911,Leisure Link
2912,Young's Hotels
2913,Maybourne
2914,Red Carnation
2915,Premier Inn
2916,London Premier
2917,CitizenM Hotels
2918,Firmdale
2919,Apex Hotels
2920,HDM - Not a Duplicate
2921,Grand Chifley
2922,Chifley
2923,Country Comfort
2924,Sundowner Motor Inns
2925,Silverneedle Collection
2926,Australis Resorts
2927,Hot-el-Apartments
2928,Next Story Group
2929,Logis International Services
2930,Astotel
2931,EVEN Hotels
2933,Relais du Silence
2934,Sun International
2935,ALH Group
2936,Bespoke
2937,Crerar
2938,Strathmore Hotels
2939,Club Mahindra
2940,Icelandair Hotels
2941,Hotel Edda
2942,aha Hotels and Lodges
2943,Peermont
2944,Victor's
2945,PREM Group UK
2946,PREM Group Ireland
2948,Sterling Holidays
